license_plates,states,colors
NL24A5130,Nagaland,Purple
PB31B7121,Punjab,Black
KL17D5194,Kerala,Blue
AP26A4168,Andhra Pradesh,White
DD14A6139,Daman and Diu,Red
RJ17B8112,Rajasthan,Black
TR16A5162,Tripura,White
WB15D3185,West Bengal,Blue
ML11D0148,Meghalaya,White
DD26C6124,Daman and Diu,Blue
TN27B8115,Tamil Nadu,White
UP29D4172,Uttar Pradesh,White
AS28A0123,Assam,Red
GJ27D7120,Gujarat,Black
LD22B0136,Lakshadweep,Purple
GJ28B0196,Gujarat,Blue
MZ19D8178,Mizoram,Orange
CH17C3179,Chandigarh,Green
LD21D8107,Lakshadweep,Orange
JK23B7110,Jammu and Kashmir,Green
UK10D7158,Uttarakhand,Green
LD20A4181,Lakshadweep,Blue
WB30B4130,West Bengal,Orange
AN17D9123,Andaman and Nicobar Islands,Black
TR12C1171,Tripura,Orange
AR25D0188,Arunachal Pradesh,Green
UP19D9100,Uttar Pradesh,Blue
RJ27B1147,Rajasthan,Blue
WB21A0133,West Bengal,Green
HR25A5189,Haryana,Black
RJ30B8160,Rajasthan,Orange
AP16C5114,Andhra Pradesh,Red
NL20D4137,Nagaland,Black
CH22D2184,Chandigarh,Red
GJ30C0100,Gujarat,White
PB10B3168,Punjab,Purple
AS25A5173,Assam,Black
GJ21C8112,Gujarat,Green
DL22A6130,Delhi,Blue
GJ28A7173,Gujarat,White
KL27A6181,Kerala,White
OR30C3187,Orissa,Blue
MP30C2144,Madhya Pradesh,Blue
UK10A5101,Uttarakhand,Blue
MN21B8163,Manipur,Blue
ML27C1145,Meghalaya,Black
PY17B7180,Pondicherry,Orange
UK22A9178,Uttarakhand,Black
CG28B3179,Chhattisgarh,Orange
JK18D1116,Jammu and Kashmir,Purple
UK14B7105,Uttarakhand,Blue
RJ10B5157,Rajasthan,Red
NL29B6144,Nagaland,Green
MH30A2179,Maharashtra,Black
MN21B9108,Manipur,White
NL29B9172,Nagaland,Red
ML24B6187,Meghalaya,Red
KA27B9148,Karnataka,White
AS24A6141,Assam,Blue
PY23A5184,Pondicherry,Black
MN21B0139,Manipur,Orange
AP19D0197,Andhra Pradesh,Green
KL23C8166,Kerala,Red
KA18D3122,Karnataka,Green
MH18C4127,Maharashtra,Purple
KA19C8112,Karnataka,Green
HP31C1179,Himachal Pradesh,Red
RJ12B3181,Rajasthan,Blue
TN15A3174,Tamil Nadu,Blue
HR20B8176,Haryana,Green
LD14D9178,Lakshadweep,Green
DD10C0196,Daman and Diu,Blue
DH27A1114,Dadra and Nagar Haveli,White
MN23D1152,Manipur,Blue
UP14B8185,Uttar Pradesh,White
UK31D3129,Uttarakhand,White
BR13D1128,Bihar,Black
LD18C2145,Lakshadweep,Green
ML12B4191,Meghalaya,Green
GA20B1185,Goa,Green
CG10D9128,Chhattisgarh,Blue
TN23A9106,Tamil Nadu,Red
MH25A8164,Maharashtra,Purple
AS30C1110,Assam,Black
AN20D5170,Andaman and Nicobar Islands,White
AS25B3200,Assam,Purple
RJ22B9146,Rajasthan,Green
MP27D3137,Madhya Pradesh,White
DD30C7148,Daman and Diu,Red
JK10C7129,Jammu and Kashmir,White
MN31C6139,Manipur,Blue
UP28A3132,Uttar Pradesh,Purple
AN10B8168,Andaman and Nicobar Islands,Red
OR14A9122,Orissa,White
NL14B2137,Nagaland,Green
MP27A0122,Madhya Pradesh,Orange
JH14B2168,Jharkhand,Green
NL11A2201,Nagaland,Green
LD10B2138,Lakshadweep,White
KL25B1157,Kerala,Black
UP19D9100,Uttar Pradesh,Blue
OR30C3187,Orissa,Blue
UK22A9178,Uttarakhand,Black
KL23C8166,Kerala,Red
LD22B0136,Lakshadweep,Purple
JK10C7129,Jammu and Kashmir,White
NL14B2137,Nagaland,Green
OR14A9122,Orissa,White
RJ17B8112,Rajasthan,Black
LD14D9178,Lakshadweep,Green
BR13D1128,Bihar,Black
PY17B7180,Pondicherry,Orange
MH25A8164,Maharashtra,Purple
DD26C6124,Daman and Diu,Blue
MP30C2144,Madhya Pradesh,Blue
UP14B8185,Uttar Pradesh,White
UK14B7105,Uttarakhand,Blue
TN27B8115,Tamil Nadu,White
LD22B0136,Lakshadweep,Purple
NL29B9172,Nagaland,Red
DH27A1114,Dadra and Nagar Haveli,White
JK23B7110,Jammu and Kashmir,Green
CG28B3179,Chhattisgarh,Orange
JH14B2168,Jharkhand,Green
AS25B3200,Assam,Purple
KL23C8166,Kerala,Red
NL29B6144,Nagaland,Green
AS28A0123,Assam,Red
MN21B9108,Manipur,White
HR25A5189,Haryana,Black
AS24A6141,Assam,Blue
MN23D1152,Manipur,Blue
MN23D1152,Manipur,Blue
PY17B7180,Pondicherry,Orange
CH17C3179,Chandigarh,Green
MN31C6139,Manipur,Blue
DD30C7148,Daman and Diu,Red
GJ27D7120,Gujarat,Black
GA20B1185,Goa,Green
MN31C6139,Manipur,Blue
AS28A0123,Assam,Red
HR25A5189,Haryana,Black
UP29D4172,Uttar Pradesh,White
GJ28B0196,Gujarat,Blue
KL27A6181,Kerala,White
GJ28A7173,Gujarat,White
NL24A5130,Nagaland,Purple
JH14B2168,Jharkhand,Green
CH17C3179,Chandigarh,Green
AS30C1110,Assam,Black
MN21B0139,Manipur,Orange
UK14B7105,Uttarakhand,Blue
JK10C7129,Jammu and Kashmir,White
UK10D7158,Uttarakhand,Green
KL25B1157,Kerala,Black
RJ22B9146,Rajasthan,Green
NL29B6144,Nagaland,Green
DH27A1114,Dadra and Nagar Haveli,White
RJ22B9146,Rajasthan,Green
AN10B8168,Andaman and Nicobar Islands,Red
KL27A6181,Kerala,White
GJ21C8112,Gujarat,Green
NL20D4137,Nagaland,Black
BR13D1128,Bihar,Black
NL11A2201,Nagaland,Green
CG10D9128,Chhattisgarh,Blue
TN23A9106,Tamil Nadu,Red
MP27D3137,Madhya Pradesh,White
GJ28A7173,Gujarat,White
MH25A8164,Maharashtra,Purple
KL25B1157,Kerala,Black
DD10C0196,Daman and Diu,Blue
MZ19D8178,Mizoram,Orange
HP31C1179,Himachal Pradesh,Red
AS30C1110,Assam,Black
MP27D3137,Madhya Pradesh,White
NL11A2201,Nagaland,Green
NL29B6144,Nagaland,Green
MH18C4127,Maharashtra,Purple
ML11D0148,Meghalaya,White
NL29B6144,Nagaland,Green
WB15D3185,West Bengal,Blue
TN27B8115,Tamil Nadu,White
GJ28B0196,Gujarat,Blue
MP30C2144,Madhya Pradesh,Blue
UK22A9178,Uttarakhand,Black
OR14A9122,Orissa,White
OR14A9122,Orissa,White
WB30B4130,West Bengal,Orange
PY17B7180,Pondicherry,Orange
TN15A3174,Tamil Nadu,Blue
UK10D7158,Uttarakhand,Green
UK10D7158,Uttarakhand,Green
NL29B6144,Nagaland,Green
PB10B3168,Punjab,Purple
CG28B3179,Chhattisgarh,Orange
UP14B8185,Uttar Pradesh,White
TN23A9106,Tamil Nadu,Red
ML24B6187,Meghalaya,Red
CG10D9128,Chhattisgarh,Blue
ML12B4191,Meghalaya,Green
DD14A6139,Daman and Diu,Red
ML27C1145,Meghalaya,Black
KA19C8112,Karnataka,Green
AR25D0188,Arunachal Pradesh,Green
GA20B1185,Goa,Green
KA19C8112,Karnataka,Green
AS30C1110,Assam,Black
UP14B8185,Uttar Pradesh,White
KL25B1157,Kerala,Black
GJ27D7120,Gujarat,Black
UP29D4172,Uttar Pradesh,White
RJ27B1147,Rajasthan,Blue
MP27D3137,Madhya Pradesh,White
MP30C2144,Madhya Pradesh,Blue
RJ30B8160,Rajasthan,Orange
TN27B8115,Tamil Nadu,White
KA19C8112,Karnataka,Green
AN10B8168,Andaman and Nicobar Islands,Red
AP26A4168,Andhra Pradesh,White
UK14B7105,Uttarakhand,Blue
MN21B8163,Manipur,Blue
TN27B8115,Tamil Nadu,White
UK22A9178,Uttarakhand,Black
AN20D5170,Andaman and Nicobar Islands,White
DL22A6130,Delhi,Blue
JK10C7129,Jammu and Kashmir,White
AR25D0188,Arunachal Pradesh,Green
UK22A9178,Uttarakhand,Black
AS24A6141,Assam,Blue
HR20B8176,Haryana,Green
KL27A6181,Kerala,White
MH25A8164,Maharashtra,Purple
LD22B0136,Lakshadweep,Purple
AP16C5114,Andhra Pradesh,Red
PY17B7180,Pondicherry,Orange
MN21B9108,Manipur,White
OR14A9122,Orissa,White
AS28A0123,Assam,Red
OR14A9122,Orissa,White
DL22A6130,Delhi,Blue
UK14B7105,Uttarakhand,Blue
JH14B2168,Jharkhand,Green
DD26C6124,Daman and Diu,Blue
GJ28A7173,Gujarat,White
TN23A9106,Tamil Nadu,Red
PY23A5184,Pondicherry,Black
UP14B8185,Uttar Pradesh,White
DL22A6130,Delhi,Blue
